GID,SYMBOL,GENENAME
SEN_RS10375,SEN_RS10375,hypothetical protein
SEN_RS15465,iraD,anti-adapter protein IraD
SEN_RS21340,groL,chaperonin GroEL
SEN_RS21710,SEN_RS21710,winged helix-turn-helix transcriptional regulator
SEN_RS21830,SEN_RS21830,DgaE family pyridoxal phosphate-dependent ammonia lyase
SEN_RS08445,ssaR,SPI-2 type III secretion system export apparatus protein SsaR
SEN_RS13545,nadK,NAD(+) kinase
SEN_RS12205,accD,acetyl-CoA carboxylase- carboxyltransferase subunit beta
SEN_RS05430,fliD,flagellar filament capping protein FliD
SEN_RS09475,pepT,peptidase T
SEN_RS02480,cnoX,chaperedoxin
SEN_RS08250,rsxB,electron transport complex subunit RsxB
SEN_RS06420,SEN_RS06420,GlsB/YeaQ/YmgE family stress response membrane protein
SEN_RS19445,hemC,hydroxymethylbilane synthase
SEN_RS14525,queE,7-carboxy-7-deazaguanine synthase QueE
SEN_RS11310,SEN_RS11310,aromatic acid/H+ symport family MFS transporter
SEN_RS10380,SEN_RS10380,DUF4756 family protein
SEN_RS20125,lsrC,autoinducer 2 ABC transporter permease LsrC
SEN_RS08450,ssaQ,SPI-2 type III secretion system cytoplasmic ring protein SsaQ
SEN_RS13550,recN,DNA repair protein RecN
SEN_RS12210,SEN_RS12210,DedA family protein
SEN_RS18575,SEN_RS18575,hypothetical protein
SEN_RS14980,SEN_RS14980,hypothetical protein
SEN_RS18260,SEN_RS18260,hypothetical protein
SEN_RS07245,SEN_RS07245,glycoside hydrolase family 108 protein
SEN_RS07535,sifB,SPI-2 type III secretion system effector SifB
SEN_RS03840,bioC,malonyl-ACP O-methyltransferase BioC
SEN_RS16760,SEN_RS16760,efflux RND transporter periplasmic adaptor subunit
SEN_RS06740,SEN_RS06740,YkgJ family cysteine cluster protein
SEN_RS22180,trpS,tryptophan--tRNA ligase
SEN_RS00500,polB,DNA polymerase II
SEN_RS03340,nagE,PTS N-acetyl glucosamine transporter subunit IIABC
SEN_RS08420,SEN_RS08420,tRNA-Val
SEN_RS09480,potA,spermidine/putrescine ABC transporter ATP-binding protein PotA
SEN_RS15670,SEN_RS15670,TRAP transporter small permease
SEN_RS14530,eno,phosphopyruvate hydratase
SEN_RS15205,SEN_RS15205,alpha/beta hydrolase
SEN_RS10385,SEN_RS10385,H-NS histone family protein
SEN_RS08455,ssaP,SPI-2 type III secretion system apparatus protein SsaP
SEN_RS13555,bamE,outer membrane protein assembly factor BamE
SEN_RS12215,truA,tRNA pseudouridine(38-40) synthase TruA
SEN_RS16060,garR,2-hydroxy-3-oxopropionate reductase
SEN_RS19745,SEN_RS19745,hypothetical protein
SEN_RS07620,SEN_RS07620,YgdI/YgdR family lipoprotein
SEN_RS01525,SEN_RS01525,RNA ligase RtcB family protein
SEN_RS13890,SEN_RS13890,tRNA-Arg
SEN_RS18805,SEN_RS18805,DUF202 domain-containing protein
SEN_RS09485,potB,spermidine/putrescine ABC transporter permease PotB
SEN_RS17585,SEN_RS17585,type II toxin-antitoxin system death-on-curing family toxin
SEN_RS05210,SEN_RS05210,hypothetical protein
SEN_RS18010,lpfB,molecular chaperone LpfB
SEN_RS11315,SEN_RS11315,LysR family transcriptional regulator
SEN_RS10390,SEN_RS10390,SLATT domain-containing protein
SEN_RS12220,SEN_RS12220,aspartate-semialdehyde dehydrogenase
SEN_RS08460,ssaO,SPI-2 type III secretion system apparatus protein SsaO
SEN_RS13560,SEN_RS13560,RnfH family protein
SEN_RS07840,SEN_RS07840,linear amide C-N hydrolase
SEN_RS01000,fhuD,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD
SEN_RS20810,malG,maltose ABC transporter permease MalG
SEN_RS06280,SEN_RS06280,CoA pyrophosphatase
SEN_RS17825,SEN_RS17825,response regulator transcription factor
SEN_RS04235,SEN_RS04235,YbjC family protein
SEN_RS01985,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
SEN_RS22800,SEN_RS22800,hypothetical protein
SEN_RS03345,glnS,glutamine--tRNA ligase
SEN_RS19255,SEN_RS19255,YifB family Mg chelatase-like AAA ATPase
SEN_RS09490,sifA,SPI-2 type III secretion system effector SifA
SEN_RS04960,SEN_RS04960,heavy metal sensor histidine kinase
SEN_RS06585,narK,nitrate transporter NarK
SEN_RS23595,SEN_RS23595,type II toxin-antitoxin system RelE/ParE family toxin
SEN_RS04460,cydC,cysteine/glutathione ABC transporter ATP-binding protein/permease CydC
SEN_RS22565,sltY,murein transglycosylase
SEN_RS14535,pyrG,CTP synthase (glutamine hydrolyzing)
SEN_RS10395,SEN_RS10395,nucleotidyltransferase
SEN_RS08465,ssaN,SctN family type III secretion system ATPase SsaN
SEN_RS13565,SEN_RS13565,type II toxin-antitoxin system RatA family toxin
SEN_RS12225,pdxB,4-phosphoerythronate dehydrogenase PdxB
SEN_RS05435,SEN_RS05435,hypothetical protein
SEN_RS21195,SEN_RS21195,fumarate hydratase
SEN_RS21935,arcA,arginine deiminase
SEN_RS02485,SEN_RS02485,SDR family oxidoreductase
SEN_RS18670,SEN_RS18670,PTS sugar transporter subunit IIA
SEN_RS06985,pspE,thiosulfate sulfurtransferase PspE
SEN_RS17190,nirC,nitrite transporter NirC
SEN_RS05755,ruvA,Holliday junction branch migration protein RuvA
SEN_RS07465,SEN_RS07465,PTS sugar transporter subunit IIA
SEN_RS11320,SEN_RS11320,CidA/LrgA family protein
SEN_RS10400,SEN_RS10400,hypothetical protein
SEN_RS08470,ssaV,SPI-2 type III secretion system apparatus protein SsaV
SEN_RS19450,cyaA,class I adenylate cyclase
SEN_RS12230,flk,flagella biosynthesis regulator Flk
SEN_RS24945,SEN_RS24945,hypothetical protein
SEN_RS13100,fdx,ISC system 2Fe-2S type ferredoxin
SEN_RS14985,SEN_RS14985,DUF1460 domain-containing protein
SEN_RS03845,bioD,ATP-dependent dethiobiotin synthetase BioD
SEN_RS07720,SEN_RS07720,NAD-dependent malic enzyme
SEN_RS03350,chiP,chitoporin
SEN_RS08150,SEN_RS08150,DUF1471 domain-containing protein
SEN_RS09495,potC,spermidine/putrescine ABC transporter permease PotC
SEN_RS12950,SEN_RS12950,DUF1493 family protein
SEN_RS15400,SEN_RS15400,VOC family protein
SEN_RS16600,mdh,malate dehydrogenase
SEN_RS14540,mazG,nucleoside triphosphate pyrophosphohydrolase
SEN_RS11325,SEN_RS11325,CidB/LrgB family autolysis modulator
SEN_RS10405,SEN_RS10405,hypothetical protein
SEN_RS08475,ssaM,SPI-2 type III secretion system apparatus protein SsaM
SEN_RS13570,smpB,SsrA-binding protein SmpB
SEN_RS20540,SEN_RS20540,hypothetical protein
SEN_RS16065,garL,2-dehydro-3-deoxyglucarate aldolase
SEN_RS18160,yiaK,3-dehydro-L-gulonate 2-dehydrogenase
SEN_RS01990,tgt,tRNA guanosine(34) transglycosylase Tgt
SEN_RS01530,SEN_RS01530,peptide chain release factor H
SEN_RS02490,tesA,multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1
SEN_RS02430,SEN_RS02430,bifunctional UDP-sugar hydrolase/5'-nucleotidase
SEN_RS17590,SEN_RS17590,type II toxin-antitoxin system Phd/YefM family antitoxin
SEN_RS24255,SEN_RS24255,hypothetical protein
SEN_RS12235,SEN_RS12235,MFS transporter
SEN_RS20290,SEN_RS20290,PLP-dependent aminotransferase family protein
SEN_RS18015,lpfA,long polar fimbria major subunit LpfA
SEN_RS11330,cdd,cytidine deaminase
SEN_RS10410,SEN_RS10410,AlpA family transcriptional regulator
SEN_RS00355,caiD,crotonobetainyl-CoA hydratase
SEN_RS08480,ssaL,SPI-2 type III secretion system apparatus protein SsaL
SEN_RS18385,rfaL,O-antigen ligase RfaL
SEN_RS01005,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB
SEN_RS00115,bcfC,fimbrial usher BcfC
SEN_RS20815,malF,maltose ABC transporter permease MalF
SEN_RS22400,SEN_RS22400,threonine/serine exporter
SEN_RS06070,SEN_RS06070,hypothetical protein
SEN_RS21610,ulaB,PTS ascorbate transporter subunit IIB
SEN_RS17085,slyD,peptidylprolyl isomerase
SEN_RS03355,SEN_RS03355,hypothetical protein
SEN_RS04965,hprR,response regulator transcription factor HprR
SEN_RS19260,ilvL,ilv operon leader peptide
SEN_RS09500,potD,spermidine/putrescine ABC transporter substrate-binding protein PotD
SEN_RS08005,SEN_RS08005,MHS family MFS transporter
SEN_RS17345,SEN_RS17345,Rpn family recombination-promoting nuclease/putative transposase
SEN_RS04670,aspC,aspartate transaminase
SEN_RS14545,SEN_RS14545,fimbrial protein
SEN_RS11335,sanA,outer membrane permeability protein SanA
SEN_RS10415,SEN_RS10415,hypothetical protein
SEN_RS21345,SEN_RS21345,DUF4156 domain-containing protein
SEN_RS08485,ssaK,SPI-2 type III secretion system apparatus protein SsaK
SEN_RS13575,bapA,biofilm-associated protein BapA
SEN_RS19870,dtd,D-tyrosyl-tRNA(Tyr) deacylase
SEN_RS05440,SEN_RS05440,flagellin FliC
SEN_RS01995,yajC,preprotein translocase subunit YajC
SEN_RS19455,cyaY,iron donor protein CyaY
SEN_RS02495,SEN_RS02495,ABC transporter ATP-binding protein
SEN_RS08255,rsxC,electron transport complex subunit RsxC
SEN_RS06990,SEN_RS06990,YcjX family protein
SEN_RS24750,SEN_RS24750,fumarate hydratase
SEN_RS06425,SEN_RS06425,alpha-alpha-trehalase
SEN_RS22085,sefD,SEF18 fimbria major subunit SefD
SEN_RS16490,SEN_RS16490,N-acetylmannosamine-6-phosphate 2-epimerase
SEN_RS11340,SEN_RS11340,DUF2542 family protein
SEN_RS10420,SEN_RS10420,peptidase
SEN_RS03295,SEN_RS03295,tRNA-Gln
SEN_RS08490,SEN_RS08490,hypothetical protein
SEN_RS12240,SEN_RS12240,hypothetical protein
SEN_RS14995,SEN_RS14995,peptidoglycan DD-metalloendopeptidase family protein
SEN_RS03850,uvrB,excinuclease ABC subunit B
SEN_RS06745,ompW,outer membrane protein OmpW
SEN_RS16765,SEN_RS16765,multidrug efflux RND transporter permease subunit
SEN_RS03360,tcuC,tricarballylate/proton symporter TcuC
SEN_RS09505,cobB,NAD-dependent protein deacylase
SEN_RS15675,SEN_RS15675,TRAP transporter large permease subunit
SEN_RS12955,SEN_RS12955,DDE-type integrase/transposase/recombinase
SEN_RS15210,SEN_RS15210,YhcH/YjgK/YiaL family protein
SEN_RS05880,SEN_RS05880,excisionase
SEN_RS14550,SEN_RS14550,fimbrial biogenesis outer membrane usher protein
SEN_RS11345,SEN_RS11345,NAD(P)-dependent oxidoreductase
SEN_RS19235,SEN_RS19235,tRNA-Asp
SEN_RS08495,ssaJ,SPI-2 type III secretion system apparatus lipoprotein SsaJ
SEN_RS13580,SEN_RS13580,TolC family outer membrane protein
SEN_RS16070,garD,galactarate dehydratase
SEN_RS02000,secD,protein translocase subunit SecD
SEN_RS19750,yihI,Der GTPase-activating protein YihI
SEN_RS01535,pepD,cytosol nonspecific dipeptidase
SEN_RS18810,SEN_RS18810,YidH family protein
SEN_RS02500,SEN_RS02500,ABC transporter permease
SEN_RS02600,SEN_RS02600,acyl-CoA synthetase FdrA
SEN_RS17595,livF,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivF
SEN_RS05220,SEN_RS05220,sel1 repeat family protein
SEN_RS18020,SEN_RS18020,autotransporter outer membrane beta-barrel domain-containing protein
SEN_RS11350,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
SEN_RS16780,SEN_RS16780,tRNA-Thr
SEN_RS20300,metF,methylenetetrahydrofolate reductase
SEN_RS08500,ssaI,SctI family type III secretion system inner rod subunit SsaI
SEN_RS12245,SEN_RS12245,transcriptional regulator
SEN_RS07845,SEN_RS07845,hydrogenase small subunit
SEN_RS01010,stfA,fimbrial major subunit StfA
SEN_RS20820,malE,maltose/maltodextrin ABC transporter substrate-binding protein MalE
SEN_RS17830,SEN_RS17830,LysR family transcriptional regulator
SEN_RS16900,rpsM,30S ribosomal protein S13
SEN_RS06285,pabB,aminodeoxychorismate synthase component 1
SEN_RS04240,nfsA,nitroreductase NfsA
SEN_RS25005,SEN_RS25005,hypothetical protein
SEN_RS04970,hiuH,hydroxyisourate hydrolase
SEN_RS03365,tcuB,tricarballylate utilization protein TcuB
SEN_RS00265,rihC,ribonucleoside hydrolase RihC
SEN_RS09510,nagK,N-acetylglucosamine kinase
SEN_RS18510,SEN_RS18510,trimeric intracellular cation channel family protein
SEN_RS06590,SEN_RS06590,nitrate reductase subunit alpha
SEN_RS12960,guaA,glutamine-hydrolyzing GMP synthase
SEN_RS04465,cydD,cysteine/glutathione ABC transporter permease/ATP-binding protein CydD
SEN_RS22570,trpR,trp operon repressor
SEN_RS14555,SEN_RS14555,fimbria/pilus periplasmic chaperone
SEN_RS11355,mglC,galactose/methyl galactoside ABC transporter permease MglC
SEN_RS13585,SEN_RS13585,type I secretion system permease/ATPase
SEN_RS03855,SEN_RS03855,hypothetical protein
SEN_RS21200,dcuB,anaerobic C4-dicarboxylate transporter DcuB
SEN_RS05445,fliB,flagellin lysine-N-methylase
SEN_RS05760,ruvB,Holliday junction branch migration DNA helicase RuvB
SEN_RS21940,SEN_RS21940,YhcH/YjgK/YiaL family protein
SEN_RS02005,secF,protein translocase subunit SecF
SEN_RS01540,gpt,xanthine phosphoribosyltransferase
SEN_RS19460,SEN_RS19460,DUF3021 family protein
SEN_RS02505,SEN_RS02505,porin
SEN_RS02960,SEN_RS02960,molecular chaperone
SEN_RS06995,SEN_RS06995,TIGR01620 family protein
SEN_RS07470,sgcQ,BtpA family protein SgcQ
SEN_RS11360,mglA,galactose/methyl galactoside ABC transporter ATP-binding protein MglA
SEN_RS10425,SEN_RS10425,integrase domain-containing protein
SEN_RS20130,lsrD,autoinducer 2 ABC transporter permease LsrD
SEN_RS08505,SEN_RS08505,EscG/YscG/SsaH family type III secretion system needle protein co-chaperone
SEN_RS13590,SEN_RS13590,HlyD family type I secretion periplasmic adaptor subunit
SEN_RS01015,SEN_RS01015,fimbrial biogenesis outer membrane usher protein
SEN_RS12250,SEN_RS12250,C40 family peptidase
SEN_RS07250,SEN_RS07250,tyrosine-type recombinase/integrase
SEN_RS13105,hscA,Fe-S protein assembly chaperone HscA
SEN_RS17455,SEN_RS17455,dihydroxy-acid dehydratase
SEN_RS08425,SEN_RS08425,tRNA-Val
SEN_RS24615,SEN_RS24615,helix-turn-helix domain-containing protein
SEN_RS00510,SEN_RS00510,DUF4751 family protein
SEN_RS03370,tcuA,FAD-dependent tricarballylate dehydrogenase TcuA
SEN_RS08155,SEN_RS08155,amino acid permease
SEN_RS09515,lolE,lipoprotein-releasing ABC transporter permease subunit LolE
SEN_RS15680,ftsP,cell division protein FtsP
SEN_RS15405,SEN_RS15405,acetyl-CoA hydrolase/transferase family protein
SEN_RS12965,guaB,IMP dehydrogenase
SEN_RS21490,miaA,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
SEN_RS16605,argR,transcriptional regulator ArgR
SEN_RS12255,SEN_RS12255,YbjP/YqhG family protein
SEN_RS20545,SEN_RS20545,type III secretion system effector arginine glycosyltransferase SseK1
SEN_RS14560,SEN_RS14560,fimbrial protein
SEN_RS11365,mglB,galactose/glucose ABC transporter substrate-binding protein MglB
SEN_RS13595,SEN_RS13595,hypothetical protein
SEN_RS22315,SEN_RS22315,BrnT family toxin
SEN_RS18165,SEN_RS18165,YhcH/YjgK/YiaL family protein
SEN_RS02510,SEN_RS02510,metal ABC transporter substrate-binding protein
SEN_RS02010,SEN_RS02010,VOC family protein
SEN_RS17600,livG,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG
SEN_RS18025,tag,DNA-3-methyladenine glycosylase I
SEN_RS21065,nrfB,cytochrome c nitrite reductase pentaheme subunit
SEN_RS00360,caiC,crotonobetaine/carnitine-CoA ligase
SEN_RS12260,SEN_RS12260,CPBP family intramembrane metalloprotease
SEN_RS11370,galS,HTH-type transcriptional regulator GalS
SEN_RS00120,SEN_RS00120,fimbrial protein BcfD
SEN_RS08510,ssaG,type III secretion system needle filament protein SsaG
SEN_RS13600,SEN_RS13600,DUF3800 domain-containing protein
SEN_RS18390,SEN_RS18390,lipopolysaccharide N-acetylglucosaminyltransferase
SEN_RS01020,stfD,fimbrial chaperone StfD
SEN_RS20825,malK,maltose/maltodextrin ABC transporter ATP-binding protein MalK
SEN_RS17090,SEN_RS17090,YheV family putative metal-binding protein
SEN_RS04245,rimK,30S ribosomal protein S6--L-glutamate ligase
SEN_RS02515,sfbB,virulence-associated ABC transporter ATP-binding protein SfbB
SEN_RS01545,frsA,esterase FrsA
SEN_RS04975,SEN_RS04975,4-hydroxyphenylacetate 3-monooxygenase reductase subunit
SEN_RS08010,SEN_RS08010,Zn-dependent oxidoreductase
SEN_RS03375,tcuR,tricarballylate utilization LysR family transcriptional regulator TcuR
SEN_RS19265,SEN_RS19265,acetolactate synthase 2 catalytic subunit
SEN_RS09520,lolD,lipoprotein-releasing ABC transporter ATP-binding protein LolD
SEN_RS04675,ompF,porin OmpF
SEN_RS17350,bioH,pimeloyl-ACP methyl ester esterase BioH
SEN_RS12970,xseA,exodeoxyribonuclease VII large subunit
SEN_RS15470,SEN_RS15470,type VI secretion system tube protein Hcp
SEN_RS12265,fabB,beta-ketoacyl-ACP synthase I
SEN_RS14565,SEN_RS14565,fimbrial protein
SEN_RS11375,SEN_RS11375,DUF418 family protein
SEN_RS21835,SEN_RS21835,KDGP aldolase family protein
SEN_RS21350,SEN_RS21350,YjeJ family protein
SEN_RS08515,sseG,pathogenicity island 2 effector protein SseG
SEN_RS22045,SEN_RS22045,helix-turn-helix domain-containing protein
SEN_RS05450,SEN_RS05450,RNA polymerase sigma factor FliA
SEN_RS03860,slrP,SPI-1 type III secretion system effector E3 ubiquitin transferase SlrP
SEN_RS02015,SEN_RS02015,YafY family transcriptional regulator
SEN_RS00515,araD,L-ribulose-5-phosphate 4-epimerase
SEN_RS09525,lolC,lipoprotein-releasing ABC transporter permease subunit LolC
SEN_RS07475,SEN_RS07475,permease
SEN_RS02965,SEN_RS02965,molybdopterin-dependent oxidoreductase
SEN_RS06430,SEN_RS06430,Glu/Leu/Phe/Val dehydrogenase
SEN_RS07000,tyrR,transcriptional regulator TyrR
SEN_RS12270,mnmC,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC
SEN_RS24355,SEN_RS24355,transposase
SEN_RS24730,SEN_RS24730,IS200/IS605 family transposase
SEN_RS11380,folE,GTP cyclohydrolase I FolE
SEN_RS08520,sseF,type III secretion systems effector SseF
SEN_RS03300,SEN_RS03300,tRNA-Gln
SEN_RS01025,SEN_RS01025,fimbrial protein
SEN_RS03045,dcuC,anaerobic C4-dicarboxylate transporter DcuC
SEN_RS07260,SEN_RS07260,EamA family transporter
SEN_RS06135,SEN_RS06135,membrane protein
SEN_RS15000,idi,isopentenyl-diphosphate Delta-isomerase
SEN_RS06750,SEN_RS06750,manganese catalase family protein
SEN_RS16770,SEN_RS16770,membrane protein
SEN_RS18265,SEN_RS18265,YibL family ribosome-associated protein
SEN_RS03380,fur,ferric iron uptake transcriptional regulator
SEN_RS09530,mfd,transcription-repair coupling factor
SEN_RS15685,plsC,1-acylglycerol-3-phosphate O-acyltransferase
SEN_RS20550,SEN_RS20550,hypothetical protein
SEN_RS21560,SEN_RS21560,DUF350 domain-containing protein
SEN_RS15215,SEN_RS15215,Ldh family oxidoreductase
SEN_RS12275,SEN_RS12275,YfcL family protein
SEN_RS14570,SEN_RS14570,fimbrial protein
SEN_RS10430,SEN_RS10430,SEL1-like repeat protein
SEN_RS11385,fghA,S-formylglutathione hydrolase
SEN_RS08525,sscB,SycD/LcrH family type III secretion system chaperone SscB
SEN_RS24735,SEN_RS24735,IS3-like element IS1351 family transposase
SEN_RS07625,ansP,L-asparagine permease
SEN_RS12975,shdA,fibronectin-binding autotransporter adhesin ShdA
SEN_RS16075,SEN_RS16075,tagatose bisphosphate family class II aldolase
SEN_RS02520,SEN_RS02520,ABC transporter permease
SEN_RS03865,yvcK,uridine diphosphate-N-acetylglucosamine-binding protein YvcK
SEN_RS19755,hemN,oxygen-independent coproporphyrinogen III oxidase
SEN_RS18815,SEN_RS18815,putative transporter
SEN_RS02020,SEN_RS02020,HNH nuclease family protein
SEN_RS09535,SEN_RS09535,L-D-transpeptidase family protein
SEN_RS24855,SEN_RS24855,sel1 repeat family protein
SEN_RS12280,SEN_RS12280,elongation factor P hydroxylase
SEN_RS10435,SEN_RS10435,hypothetical protein
SEN_RS20305,katG,catalase/peroxidase HPI
SEN_RS08530,sseE,LcrR family type III secretion system chaperone SseE
SEN_RS11390,SEN_RS11390,helix-turn-helix transcriptional regulator
SEN_RS07850,SEN_RS07850,nickel-dependent hydrogenase large subunit
SEN_RS01030,stfF,fimbrial minor subunit StfF
SEN_RS20830,SEN_RS20830,maltoporin
SEN_RS17835,yhjD,inner membrane protein YhjD
SEN_RS06290,SEN_RS06290,YoaH family protein
SEN_RS02825,SEN_RS02825,glutamate--cysteine ligase
SEN_RS04980,hpaB,4-hydroxyphenylacetate 3-monooxygenase- oxygenase component
SEN_RS01550,crl,sigma factor-binding protein Crl
SEN_RS16970,rpmC,50S ribosomal protein L29
SEN_RS19270,ilvM,acetolactate synthase 2 small subunit
SEN_RS19000,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
SEN_RS20425,SEN_RS20425,16S ribosomal RNA
SEN_RS09540,SEN_RS09540,DUF1471 domain-containing protein
SEN_RS04250,SEN_RS04250,YbjN domain-containing protein
SEN_RS06595,narH,nitrate reductase subunit beta
SEN_RS04470,trxB,thioredoxin-disulfide reductase
SEN_RS14575,SEN_RS14575,hypothetical protein
SEN_RS24235,SEN_RS24235,transposase
SEN_RS08535,sseD,SPI-2 type III secretion system translocon protein SseD
SEN_RS22355,SEN_RS22355,PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB
SEN_RS22575,yjjX,inosine/xanthosine triphosphatase
SEN_RS11395,SEN_RS11395,L-serine ammonia-lyase
SEN_RS21205,SEN_RS21205,hypothetical protein
SEN_RS05765,znuB,zinc ABC transporter permease subunit ZnuB
SEN_RS05455,fliZ,flagella biosynthesis regulatory protein FliZ
SEN_RS02525,mnmH,tRNA 2-selenouridine(34) synthase MnmH
SEN_RS03870,moaA,GTP 3'-8-cyclase MoaA
SEN_RS21945,argF,ornithine carbamoyltransferase
SEN_RS00520,araA,L-arabinose isomerase
SEN_RS24805,SEN_RS24805,hypothetical protein
SEN_RS09545,comR,TetR family copper-responsive transcriptional repressor ComR
SEN_RS21525,nsrR,nitric oxide-sensing transcriptional repressor NsrR
SEN_RS17195,cobA,uroporphyrinogen-III C-methyltransferase
SEN_RS12285,SEN_RS12285,TSUP family transporter
SEN_RS13620,tnpA,IS200/IS605-like element IS200F family transposase
SEN_RS20135,lsrB,autoinducer 2 ABC transporter substrate-binding protein LsrB
SEN_RS08540,sseC,SPI-2 type III secretion system translocon protein SseC
SEN_RS07005,tpx,thiol peroxidase
SEN_RS01035,SEN_RS01035,fimbrial protein
SEN_RS13110,hscB,co-chaperone HscB
SEN_RS07265,uspF,universal stress protein UspF
SEN_RS11400,serB,phosphoserine phosphatase SerB
SEN_RS01555,phoE,phosphoporin PhoE
SEN_RS06140,pphA,protein-serine/threonine phosphatase
SEN_RS24980,SEN_RS24980,ryhB-regulated fur leader peptide
SEN_RS07725,sra,stationary-phase-induced ribosome-associated protein
SEN_RS20555,thiH,2-iminoacetate synthase ThiH
SEN_RS09550,SEN_RS09550,glycine zipper 2TM domain-containing protein
SEN_RS15005,lysS,lysine--tRNA ligase
SEN_RS16610,yhcN,peroxide/acid stress response protein YhcN
SEN_RS14580,relA,GTP diphosphokinase
SEN_RS23435,SEN_RS23435,DUF520 family protein
SEN_RS01295,SEN_RS01295,tRNA-Ala
SEN_RS08545,sscA,SycD/LcrH family type III secretion system chaperone SscA
SEN_RS13625,iroB,salmochelin biosynthesis C-glycosyltransferase IroB
SEN_RS11405,SEN_RS11405,MFS transporter
SEN_RS16080,gatZ,tagatose-bisphosphate aldolase subunit GatZ
SEN_RS02530,allS,HTH-type transcriptional activator AllS
SEN_RS03875,moaB,molybdenum cofactor biosynthesis protein B
SEN_RS18170,SEN_RS18170,DUF4862 family protein
SEN_RS00525,araB,ribulokinase
SEN_RS05225,SEN_RS05225,sel1 repeat family protein
SEN_RS21070,nrfC,cytochrome c nitrite reductase Fe-S protein
SEN_RS12290,mepA,penicillin-insensitive murein endopeptidase
SEN_RS14585,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
SEN_RS24960,SEN_RS24960,hypothetical protein
SEN_RS20310,SEN_RS20310,DUF1287 domain-containing protein
SEN_RS17605,livM,branched chain amino acid ABC transporter permease LivM
SEN_RS08550,sseB,SPI-2 type III secretion system translocon protein SseB
SEN_RS13630,iroC,salmochelin/enterobactin export ABC transporter IroC
SEN_RS18395,waaZ,3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ
SEN_RS01040,SEN_RS01040,DUF2544 domain-containing protein
SEN_RS20835,malM,maltose operon protein MalM
SEN_RS11410,cirA,catecholate siderophore receptor CirA
SEN_RS22405,SEN_RS22405,threonine/serine exporter ThrE family protein
SEN_RS24930,SEN_RS24930,hypothetical protein
SEN_RS21615,ulaC,PTS ascorbate transporter subunit IIA
SEN_RS17095,kefB,glutathione-regulated potassium-efflux system protein KefB
SEN_RS00125,SEN_RS00125,fimbrial protein BcfE
SEN_RS19005,SEN_RS19005,MFS transporter
SEN_RS16975,rplP,50S ribosomal protein L16
SEN_RS04985,hpaR,homoprotocatechuate degradation operon regulator HpaR
SEN_RS03385,fldA,flavodoxin FldA
SEN_RS19275,ilvE,branched-chain-amino-acid transaminase
SEN_RS09555,ndh,NADH-quinone dehydrogenase
SEN_RS08015,rspA,starvation-sensing protein RspA
SEN_RS04255,potF,spermidine/putrescine ABC transporter substrate-binding protein PotF
SEN_RS19420,SEN_RS19420,tRNA-Leu
SEN_RS10445,SEN_RS10445,AMP nucleosidase
SEN_RS21355,epmB,EF-P beta-lysylation protein EpmB
SEN_RS08555,sseA,SPI-2 type III secretion system chaperone SseA
SEN_RS13635,SEN_RS13635,esterase family protein
SEN_RS16495,nanT,sialic acid transporter NanT
SEN_RS19875,fabY,fatty acid biosynthesis protein FabY
SEN_RS11415,lysP,lysine-specific permease
SEN_RS02970,SEN_RS02970,4Fe-4S dicluster domain-containing protein
SEN_RS21840,SEN_RS21840,BglG family transcription antiterminator
SEN_RS05460,tcyJ,cystine ABC transporter substrate-binding protein
SEN_RS02535,allA,ureidoglycolate lyase
SEN_RS03880,moaC,cyclic pyranopterin monophosphate synthase MoaC
SEN_RS07480,SEN_RS07480,PTS sugar transporter subunit IIB
SEN_RS03145,holA,DNA polymerase III subunit delta
SEN_RS00530,araC,arabinose operon transcriptional regulator AraC
SEN_RS24915,SEN_RS24915,hypothetical protein
SEN_RS02030,SEN_RS02030,nucleoside-specific channel-forming protein Tsx
SEN_RS08260,rsxD,electron transport complex subunit RsxD
SEN_RS24755,SEN_RS24755,sodium:sulfate symporter
SEN_RS06435,cbdX,cytochrome bd-II oxidase subunit CbdX
SEN_RS12295,aroC,chorismate synthase
SEN_RS14590,barA,two-component sensor histidine kinase BarA
SEN_RS10450,SEN_RS10450,hypothetical protein
SEN_RS18060,cspA,RNA chaperone/antiterminator CspA
SEN_RS13640,SEN_RS13640,alpha/beta hydrolase
SEN_RS08560,ssaE,YscE family type III secretion system co-chaperone SsaE
SEN_RS07010,ycjG,L-Ala-D/L-Glu epimerase
